Statement,Link,Date
"Awra Briguela, tanggap ang branding na 'Bortang Barbie'",https://balita.mb.com.ph/2023/05/29/awra-briguela-tanggap-ang-branding-na-bortang-barbie/,"May 29,  2023"
"Rex Baculfo, bagong champion ng The Clash",https://balita.mb.com.ph/2023/05/29/rex-baculfo-bagong-champion-ng-the-clash/,"May 29,  2023"
"Composer Lolito Go, sinagot pagtatanggol ni Cornerstone VP Jeff Vadillo kay Moira",https://balita.mb.com.ph/2023/05/28/composer-lolito-go-sinagot-pagtatanggol-ni-cornerstone-vp-jeff-vadillo-kay-moira/,"May 28,  2023"
"La Union PDRRMO, naka-red alet status na para kay Betty",https://balita.mb.com.ph/2023/05/28/la-union-pdrrmo-naka-red-alet-status-na-para-kay-betty/,"May 28,  2023"
"‘Bilang paghahanda sa Typhoon Betty’: DSWD, namahagi ng 17K add'l food packs",https://balita.mb.com.ph/2023/05/28/bilang-paghahanda-sa-typhoon-betty-dswd-namahagi-ng-17k-addl-food-packs/,"May 28,  2023"
"Lalaking may patung-patong na warrant, nasakote ng otoridad",https://balita.mb.com.ph/2023/05/28/lalaking-may-patung-patong-na-warrant-nasakote-ng-otoridad/,"May 28,  2023"
"'Pose ka nang pose may bayad pala?' Netizens, relate-much sa post tungkol sa pagpapa-picture",https://balita.mb.com.ph/2023/05/28/pose-ka-nang-pose-may-bayad-pala-netizens-relate-much-sa-post-tungkol-sa-pagpapa-picture/,"May 28,  2023"
"VP ng Cornerstone, pinasinungalingan pahayag ng composer laban kay Moira",https://balita.mb.com.ph/2023/05/28/vp-ng-cornerstone-pinasinungalingan-pahayag-ng-composer-laban-kay-moira/,"May 28,  2023"
"Michelle Madrigal, may pa-cryptic posts; hiwalay na ba sa 'jowang' afam?",https://balita.mb.com.ph/2023/05/28/michelle-madrigal-may-pa-cryptic-posts-hiwalay-na-ba-sa-jowang-afam/,"May 28,  2023"
"PBBM, hinikayat mga Cebuano na patuloy na tumulong gov’t sa nation-building",https://balita.mb.com.ph/2023/05/28/pbbm-hinikayat-mga-cebuano-na-patuloy-na-tumulong-govt-sa-nation-building/,"May 28,  2023"
"172 para athletes, kakatawanin ang Pilipinas sa 12th ASEAN Para Games ngayong Hunyo",https://balita.mb.com.ph/2023/05/28/172-para-athletes-kakatawanin-ang-pilipinas-sa-12th-asean-para-games-ngayong-hunyo/,"May 28,  2023"
'It takes a real man to humble himself!' Giselle Sanchez nagpasalamat sa pag-sorry ni Rendon Labador,https://balita.mb.com.ph/2023/05/28/it-takes-a-real-man-to-humble-himself-giselle-sanchez-nagpasalamat-sa-pag-sorry-ni-rendon-labador/,"May 28,  2023"
"Arroyo, sinabing hindi siya gagawa ng anumang makasisira sa 'UniTeam'",https://balita.mb.com.ph/2023/05/28/arroyo-sinabing-hindi-siya-gagawa-ng-anumang-makasisira-sa-uniteam/,"May 28,  2023"
"Typhoon Betty, bahagyang humina; 12 probinsya sa Nothern Luzon, Signal No. 1 pa rin",https://balita.mb.com.ph/2023/05/28/typhoon-betty-bahagyang-humina-12-probinsya-sa-nothern-luzon-signal-no-1-pa-rin/,"May 28,  2023"
"Composer, dating kaibigan ni Moira, may isiniwalat hinggil sa breakup nito kay Jason",https://balita.mb.com.ph/2023/05/28/composer-dating-kaibigan-ni-moira-may-isiniwalat-hinggil-sa-breakup-nito-kay-jason/,"May 28,  2023"
"Rendon Labador nag-sorry na kina Coco Martin, Michael V",https://balita.mb.com.ph/2023/05/28/rendon-labador-nag-sorry-na-kina-coco-martin-michael-v/,"May 28,  2023"
"Seniors na 'di pa nakakakuha ng monthly allowance mula Manila City gov't, pinayuhang magtungo sa city hall",https://balita.mb.com.ph/2023/05/28/seniors-na-di-pa-nakakakuha-ng-monthly-allowance-mula-manila-city-govt-pinayuhang-magtungo-sa-city-hall/,"May 28,  2023"
"Miss International 2022 Jasmin Selberg, special guest sa Binibining Pilipinas Coronation Night",https://balita.mb.com.ph/2023/05/28/miss-international-2022-jasmin-selberg-special-guest-sa-binibining-pilipinas-coronation-night/,"May 28,  2023"
"University of Santo Tomas, overall champion sa UAAP 85",https://balita.mb.com.ph/2023/05/28/university-of-santo-tomas-overall-champion-sa-uaap-85/,"May 28,  2023"
"PCSO, handa na sa pamamahagi ng relief goods para sa maaapektuhan ng Super Bagyong Betty",https://balita.mb.com.ph/2023/05/28/pcso-handa-na-sa-pamamahagi-ng-relief-goods-para-sa-maaapektuhan-ng-super-bagyong-betty/,"May 28,  2023"
"Vice Ganda, kumasa sa ‘Gento Challenge’ ng SB19",https://balita.mb.com.ph/2023/05/28/vice-ganda-kumasa-sa-gento-challenge-ng-sb19/,"May 28,  2023"
"Klase sa lahat ng antas sa Cagayan, suspendido ngayong Lunes",https://balita.mb.com.ph/2023/05/28/klase-sa-lahat-ng-antas-sa-cagayan-suspendido-ngayong-lunes/,"May 28,  2023"
'Papasikipan ko!' Toni Fowler nagpapahanap ng 'maluluwag' na,https://balita.mb.com.ph/2023/05/28/papasikipan-ko-toni-fowler-nagpapahanap-ng-maluluwag-na/,"May 28,  2023"
"Isabela, niyanig ng magnitude 4.7 na lindol",https://balita.mb.com.ph/2023/05/28/isabela-niyanig-ng-magnitude-4-7-na-lindol/,"May 28,  2023"
"Mga obispo, nagdasal para sa kaligtasan ng lahat mula sa Typhoon Betty",https://balita.mb.com.ph/2023/05/28/mga-obispo-nagdasal-para-sa-kaligtasan-ng-lahat-mula-sa-typhoon-betty/,"May 28,  2023"
"12 probinsya sa Northern Luzon, nakataas pa rin sa Signal No. 1 dahil sa Typhoon Betty",https://balita.mb.com.ph/2023/05/28/12-probinsya-sa-northern-luzon-nakataas-pa-rin-sa-signal-no-1-dahil-sa-typhoon-betty/,"May 28,  2023"
"Michelle Dee, 'unbothered queen' sa pressure, kritisismo",https://balita.mb.com.ph/2023/05/28/michelle-dee-unbothered-queen-sa-pressure-kritisismo/,"May 28,  2023"
"Kontra delay? Pagtanggal na ng mga TV set sa mga PNP station sa NCR, ipinag-utos",https://balita.mb.com.ph/2023/05/28/kontra-delay-pagtanggal-na-ng-mga-tv-set-sa-mga-pnp-station-sa-ncr-ipinag-utos/,"May 28,  2023"
"Safe na sa oil spill: Fishing ban sa 3 pang lugar sa Oriental Mindoro, inalis na!",https://balita.mb.com.ph/2023/05/28/safe-na-sa-oil-spill-fishing-ban-sa-3-pang-lugar-sa-oriental-mindoro-inalis-na/,"May 28,  2023"
"BFAR, nag-inspeksyon sa mga ibinebentang isda sa Cagayan",https://balita.mb.com.ph/2023/05/28/bfar-nag-inspeksyon-sa-mga-ibinebentang-isda-sa-cagayan/,"May 28,  2023"
"Pulis, nasawi sa pagligtas ng 2 menor de edad sa gitna ng ilog",https://balita.mb.com.ph/2023/05/28/pulis-nasawi-sa-pagligtas-ng-2-menor-de-edad-sa-gitna-ng-ilog/,"May 28,  2023"
"Ivana Alawi, namahagi ng biyaya sa Hakot Grocery Challenge",https://balita.mb.com.ph/2023/05/28/ivana-alawi-namahagi-ng-biyaya-sa-hakot-grocery-challenge/,"May 28,  2023"
"Dahil sa bagyong 'Betty': Emergency preparedness, response protocols ng NDRRMC activated na!",https://balita.mb.com.ph/2023/05/28/dahil-sa-bagyong-betty-emergency-preparedness-response-protocols-ng-ndrrmc-activated-na/,"May 28,  2023"
"PBBM, VP Sara dumalo sa grand launching ng Pier 88 sa Cebu",https://balita.mb.com.ph/2023/05/28/pbbm-vp-sara-dumalo-sa-grand-launching-ng-pier-88-sa-cebu/,"May 28,  2023"
Xander Arizala hinihintay si Makagwapo na dalhin sa kaniya ₱349k cash,https://balita.mb.com.ph/2023/05/28/xander-arizala-hinihintay-si-makagwapo-na-dalhin-sa-kaniya-%e2%82%b1349k-cash/,"May 28,  2023"
